5621-2022-06-05_Fete_Cantonale_Neuchateloise-ST

1a;Gapany Benjamin;***;;;;;;;;;58.5
+;5;18.75;Dufey Gil;*;15;54.25;6;18.5;1;-0.25;9.75
+;4;28.5;Fuchs Yannick;;16;54.0;5;28.25;1;-0.25;10.0
o;1;38.5;Moser Steven;**;2;58.0;2;38.25;1;-0.25;8.5
+;6;47.0;Crettaz Olivier;*;13;54.75;9;46.25;3;-0.75;9.75

5c;Dousse Michel;**;;;;;;;;;56.75
+;;;Rogivue Théo;*;;;;;;;10.0
+;1;10.0;Dind Samuel;**;12;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Kramer Lario;***;4;57.0;3;19.5;2;-0.5;8.5
+;4;28.5;Portmann Fabio;;6;56.5;4;28.5;0;0.0;10.0
+;1;38.5;Haenni Stéphane;**;10;55.5;1;38.5;0;0.0;9.75
o;2;48.25;Duplan Steve;***;3;57.25;5;47.25;3;-1.0;8.5

6a;Pürro David;;;;;;;;;;56.5
+;;;Theiler Nils (2004);;;;;;;;9.75
-;2;9.75;Sonnay Thomas;**;9;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Zryd Luca;;16;54.0;6;18.5;0;0.0;9.75
-;5;28.25;Fankhauser Hans;*;11;55.25;5;28.25;0;0.0;8.75
+;7;37.0;Chofflon Anthony;;10;55.5;7;37.0;0;0.0;9.75
+;7;46.75;Rogivue Théo;*;11;55.25;7;46.75;0;0.0;9.75

6b;Hofer Sven;**;;;;;;;;;56.5
-;;;Baeriswyl Christoph;**;;;;;;;8.75
+;4;8.75;Borcard Clovis;*;6;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Erb Vincent;;14;54.5;1;20.0;-4;1.25;10.0
-;3;28.75;Duplan Steve;***;3;57.25;4;28.5;1;-0.25;8.75
+;5;37.5;Vaucher Rémy;;13;54.75;4;37.75;-1;0.25;10.0
-;4;47.5;Droxler Jonathan;**;10;55.5;8;46.5;4;-1.0;9.0

6c;Portmann Fabio;;;;;;;;;;56.5
+;;;Maridor Loic;;;;;;;;9.75
o;2;9.75;Gottofrey Luc;*;9;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Garcia José Luis;;23;52.25;7;18.25;1;-0.25;10.0
o;4;28.5;Dousse Michel;**;5;56.75;4;28.5;0;0.0;8.5
+;7;37.0;Erb Vincent;;14;54.5;7;37.0;0;0.0;9.75
+;7;46.75;Haenni Stéphane;**;10;55.5;6;47.0;-1;0.25;9.75

6d;Borcard Clovis;*;;;;;;;;;56.5
+;;;Dubey Gaël;*;;;;;;;9.75
o;2;9.75;Hofer Sven;**;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Maridor Loic;;16;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Colò Kilian;**;5;56.75;4;28.5;-1;0.25;8.5
+;8;36.75;Perret Loïc;;12;55.0;8;36.75;0;0.0;10.0
+;7;46.75;Vaucher Rémy;;13;54.75;9;46.25;2;-0.5;9.75

6e;Ducrest Etienne;*;;;;;;;;;56.5
-;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Clément Aurélien;;14;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Minder Florian;**;14;54.5;6;18.5;0;0.0;10.0
+;4;28.5;Schär Alex;*;4;57.0;4;28.5;0;0.0;10.0
-;1;38.5;Colò Kilian;**;5;56.75;2;38.25;1;-0.25;9.0
-;4;47.5;Ducry Antoine;**;9;55.75;7;46.75;3;-0.75;9.0

6f;Baeriswyl Christoph;**;;;;;;;;;56.5
-;;;Hofer Sven;**;;;;;;;8.75
+;4;8.75;Jonin Jérémy;;17;53.75;2;9.75;-2;1.0;10.0
+;5;18.75;Gottofrey Luc;*;9;55.75;6;18.5;1;-0.25;9.75
+;4;28.5;Tornare Paul;;11;55.25;5;28.25;1;-0.25;9.75
o;2;38.25;Gapany Benjamin;***;1;58.5;1;38.5;-1;0.25;8.5
+;7;46.75;Emonet Frédéric;**;11;55.25;7;46.75;0;0.0;9.75

7a;Pasquier Loïc;;;;;;;;;;56.25
o;;;Siegenthaler Leo (2005);;;;;;;;8.5
+;5;8.5;Von Gunten Damien (2004);;17;53.75;5;8.5;0;0.0;9.75
+;7;18.25;Tissot Joffrey (2006);;15;54.25;6;18.5;-1;0.25;9.75
+;6;28.0;Varone Luc;*;13;54.75;8;27.5;2;-0.5;9.75
o;4;37.75;Duplan Steve;***;3;57.25;6;37.25;2;-0.5;8.5
+;9;46.25;Berger Sascha;;10;55.5;6;47.0;-3;0.75;10.0

7b;Kramer Dorian;**;;;;;;;;;56.25
o;;;Haenni Stéphane;**;;;;;;;8.5
+;5;8.5;Zryd Teo (2004);;17;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Reichenbach Ryan;;23;52.25;7;18.25;0;0.0;10.0
+;5;28.25;Droxler Jonathan;**;10;55.5;6;28.0;1;-0.25;9.75
-;3;38.0;Piemontesi Pascal;**;12;55.0;3;38.0;0;0.0;8.5
+;8;46.5;Grossenbacher Simon;*;12;55.0;9;46.25;1;-0.25;9.75

7c;Matthey Mickaël;**;;;;;;;;;56.25
-;;;Schär Alex;*;;;;;;;8.75
+;4;8.75;Vonlanthen Alexandre;;11;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Grossenbacher Simon;*;12;55.0;5;18.75;0;0.0;8.75
-;8;27.5;Collaud Bastien (2005);;13;54.75;5;28.25;-3;0.75;9.0
+;9;36.5;Fankhauser Hans;*;11;55.25;7;37.0;-2;0.5;10.0
+;8;46.5;Zbinden Dario (2004);*;11;55.25;7;46.75;-1;0.25;9.75

8a;Gottofrey Marc;**;;;;;;;;;56.0
-;;;Ducrest Etienne;*;;;;;;;8.75
+;4;8.75;Chofflon Anthony;;10;55.5;2;9.75;-2;1.0;10.0
-;5;18.75;Sturny Nicolas;**;9;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Monney Branighan;;13;54.75;7;27.75;-1;0.25;10.0
+;5;37.5;Loup Alexandre;*;15;54.25;7;37.0;2;-0.5;9.75
o;5;47.25;Moser Steven;**;2;58.0;3;48.0;-2;0.75;8.75

8b;Hayoz Quentin;*;;;;;;;;;56.0
+;;;Sonnay Thomas;**;;;;;;;10.0
o;1;10.0;Duplan Steve;***;3;57.25;5;8.5;4;-1.5;8.5
-;6;18.5;Monney Branighan;;13;54.75;5;18.75;-1;0.25;9.0
-;8;27.5;Siegenthaler Leo (2005);;10;55.5;6;28.0;-2;0.5;9.0
+;9;36.5;Dorsaz Théo;*;12;55.0;8;36.75;-1;0.25;9.75
+;9;46.25;Piemontesi Pascal;**;12;55.0;8;46.5;-1;0.25;9.75

8c;Martin Gaël (2004);;;;;;;;;;56.0
-;;;Balimann Fabian;;;;;;;;9.0
+;3;9.0;Pochon Maël;;26;42.5;5;8.5;2;-0.5;10.0
o;4;19.0;Emonet Frédéric;**;11;55.25;7;18.25;3;-0.75;8.5
+;8;27.5;Aeschbacher Ivo;;14;54.5;9;27.25;1;-0.25;10.0
o;5;37.5;Schär Alex;*;4;57.0;7;37.0;2;-0.5;8.5
+;10;46.0;Fuchs Sylvain (2005);;14;54.5;10;46.0;0;0.0;10.0

9a;Gottofrey Luc;*;;;;;;;;;55.75
-;;;Riedo Fredy;*;;;;;;;8.75
+;4;8.75;Portmann Fabio;;6;56.5;2;9.75;-2;1.0;9.75
o;6;18.5;Baeriswyl Christoph;**;6;56.5;5;18.75;-1;0.25;8.5
+;10;27.0;Fankhauser Tom (2006);;14;54.5;8;27.5;-2;0.5;10.0
-;7;37.0;Grossenbacher Simon;*;12;55.0;6;37.25;-1;0.25;9.0
+;10;46.0;Bucher Roman;;14;54.5;10;46.0;0;0.0;9.75

9b;Schläfli Hugo;*;;;;;;;;;55.75
-;;;Grossenbacher Simon;*;;;;;;;8.75
+;4;8.75;Collaud Bastien (2005);;13;54.75;1;10.0;-3;1.25;10.0
o;5;18.75;Schär Alex;*;4;57.0;5;18.75;0;0.0;8.5
+;9;27.25;Fernandez Carlos;;22;52.5;10;27.0;1;-0.25;10.0
+;6;37.25;Sturny Nicolas;**;9;55.75;7;37.0;1;-0.25;9.75
-;6;47.0;Monney Branighan;;13;54.75;9;46.25;3;-0.75;8.75

9c;Sturny Nicolas;**;;;;;;;;;55.75
-;;;Crettaz Olivier;*;;;;;;;8.75
+;4;8.75;Zryd Luca;;16;54.0;1;10.0;-3;1.25;9.75
-;6;18.5;Gottofrey Marc;**;8;56.0;5;18.75;-1;0.25;8.75
+;9;27.25;Loup Grégoire;;14;54.5;9;27.25;0;0.0;9.75
o;7;37.0;Schläfli Hugo;*;9;55.75;6;37.25;-1;0.25;8.75
+;11;45.75;Röthlisberger Sven;;16;54.0;12;45.5;1;-0.25;10.0

9d;Riedo Fredy;*;;;;;;;;;55.75
-;;;Gottofrey Luc;*;;;;;;;8.75
+;4;8.75;Tschanz Jeremy (2006);;15;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Rogivue Théo;*;11;55.25;6;18.5;0;0.0;8.75
+;9;27.25;Berger Dilan;;18;53.5;8;27.5;-1;0.25;10.0
o;6;37.25;Berger Sascha;;10;55.5;7;37.0;1;-0.25;8.5
+;11;45.75;Germanier Joel;;14;54.5;10;46.0;-1;0.25;10.0

9e;Ducry Antoine;**;;;;;;;;;55.75
-;;;Varone Luc;*;;;;;;;8.75
-;4;8.75;Wieland Timon;;17;53.75;2;9.75;-2;1.0;9.0
+;8;17.75;Germanier Joel;;14;54.5;8;17.75;0;0.0;10.0
-;7;27.75;Emonet Frédéric;**;11;55.25;6;28.0;-1;0.25;9.0
+;8;36.75;Fuchs Yannick;;16;54.0;8;36.75;0;0.0;10.0
-;7;46.75;Ducrest Etienne;*;6;56.5;4;47.5;-3;0.75;9.0

9f;Sonnay Thomas;**;;;;;;;;;55.75
o;;;Hayoz Quentin;*;;;;;;;8.5
-;5;8.5;Pürro David;;6;56.5;2;9.75;-3;1.25;8.75
+;10;17.25;Röthlisberger Sven;;16;54.0;6;18.5;-4;1.25;9.75
-;10;27.0;Zbinden Dario (2004);*;11;55.25;6;28.0;-4;1.0;8.75
+;12;35.75;Cochrane Benjamin;;16;54.0;7;37.0;-5;1.25;10.0
+;11;45.75;Fankhauser Tom (2006);;14;54.5;10;46.0;-1;0.25;10.0

10a;Siegenthaler Leo (2005);;;;;;;;;;55.5
+;;;Pasquier Loïc;;;;;;;;9.75
o;2;9.75;Schär Alex;*;4;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Tschanz Jeremy (2006);;15;54.25;6;18.5;-1;0.25;9.75
-;6;28.0;Hayoz Quentin;*;8;56.0;8;27.5;2;-0.5;8.75
-;8;36.75;Collaud Bastien (2005);;13;54.75;7;37.0;-1;0.25;8.75
+;12;45.5;Maitre Damien;;16;54.0;12;45.5;0;0.0;10.0

10b;Haenni Stéphane;**;;;;;;;;;55.5
+;;;Kramer Dorian;**;;;;;;;10.0
+;1;10.0;Fankhauser Hans;*;11;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Gapany Benjamin;***;1;58.5;2;19.75;1;-0.25;8.5
+;4;28.5;Vonlanthen Alexandre;;11;55.25;4;28.5;0;0.0;10.0
o;1;38.5;Dousse Michel;**;5;56.75;1;38.5;0;0.0;8.5
o;6;47.0;Portmann Fabio;;6;56.5;7;46.75;1;-0.25;8.5

10c;Chofflon Anthony;;;;;;;;;;55.5
+;;;Von Gunten Damien (2004);;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;8;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Jonin Jérémy;;17;53.75;7;18.25;0;0.0;10.0
-;5;28.25;Dufey Gil;*;15;54.25;10;27.0;5;-1.25;8.75
o;7;37.0;Pürro David;;6;56.5;7;37.0;0;0.0;8.5
+;12;45.5;Cochrane Benjamin;;16;54.0;12;45.5;0;0.0;10.0

10d;Droxler Jonathan;**;;;;;;;;;55.5
o;;;Piemontesi Pascal;**;;;;;;;8.5
+;5;8.5;Cottier Marco;;17;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Aeschbacher Ivo;;14;54.5;5;18.75;-2;0.5;9.75
o;6;28.0;Kramer Dorian;**;7;56.25;5;28.25;-1;0.25;8.75
+;8;36.75;Clément Aurélien;;14;54.5;7;37.0;-1;0.25;9.75
-;8;46.5;Hofer Sven;**;6;56.5;4;47.5;-4;1.0;9.0

10e;Berger Sascha;;;;;;;;;;55.5
o;;;Vaucher Rémy;;;;;;;;8.75
+;4;8.75;Giuliani Johann;;17;53.75;5;8.5;1;-0.25;9.75
-;6;18.5;Crettaz Olivier;*;13;54.75;9;17.5;3;-1.0;8.75
+;9;27.25;Zryd Luca;;16;54.0;10;27.0;1;-0.25;9.75
+;7;37.0;Riedo Fredy;*;9;55.75;6;37.25;-1;0.25;10.0
o;6;47.0;Pasquier Loïc;;7;56.25;9;46.25;3;-0.75;8.5

11a;Fankhauser Hans;*;;;;;;;;;55.25
+;;;Zbinden Dario (2004);*;;;;;;;9.75
o;2;9.75;Haenni Stéphane;**;10;55.5;1;10.0;-1;0.25;8.5
+;7;18.25;Schweizer Jason;;15;54.25;7;18.25;0;0.0;10.0
-;5;28.25;Pürro David;;6;56.5;5;28.25;0;0.0;8.75
o;7;37.0;Matthey Mickaël;**;7;56.25;9;36.5;2;-0.5;8.5
+;12;45.5;Zryd Luca;;16;54.0;12;45.5;0;0.0;9.75

11b;Tornare Paul;;;;;;;;;;55.25
+;;;Z'Rotz Roman;;;;;;;;9.75
o;2;9.75;Dufey Gil;*;15;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Zryd Teo (2004);;17;53.75;6;18.5;-1;0.25;10.0
o;5;28.25;Baeriswyl Christoph;**;6;56.5;4;28.5;-1;0.25;8.5
o;8;36.75;Emonet Frédéric;**;11;55.25;7;37.0;-1;0.25;8.5
+;13;45.25;Giuliani Johann;;17;53.75;13;45.25;0;0.0;10.0

11c;Rogivue Théo;*;;;;;;;;;55.25
o;;;Dousse Michel;**;;;;;;;8.5
+;5;8.5;Jaquier Simon (2004);;17;53.75;2;9.75;-3;1.25;10.0
+;6;18.5;Riedo Fredy;*;9;55.75;6;18.5;0;0.0;10.0
+;4;28.5;Cottier Marco;;17;53.75;5;28.25;1;-0.25;9.75
o;2;38.25;Kramer Lario;***;4;57.0;2;38.25;0;0.0;8.5
o;7;46.75;Pürro David;;6;56.5;7;46.75;0;0.0;8.5

11d;Vonlanthen Alexandre;;;;;;;;;;55.25
+;;;Pansard Yann;;;;;;;;10.0
o;1;10.0;Matthey Mickaël;**;7;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Perret Loïc;;12;55.0;7;18.25;1;-0.25;10.0
o;4;28.5;Haenni Stéphane;**;10;55.5;4;28.5;0;0.0;8.5
o;7;37.0;Zbinden Dario (2004);*;11;55.25;8;36.75;1;-0.25;8.5
+;12;45.5;Moos Loïc;;15;54.25;11;45.75;-1;0.25;9.75

11e;Emonet Frédéric;**;;;;;;;;;55.25
o;;;Dind Samuel;**;;;;;;;8.5
+;5;8.5;Fuchs Yannick;;16;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Martin Gaël (2004);;8;56.0;4;19.0;-3;0.75;9.75
-;6;28.0;Ducry Antoine;**;9;55.75;7;27.75;1;-0.25;9.0
+;7;37.0;Tornare Paul;;11;55.25;8;36.75;1;-0.25;9.75
o;7;46.75;Baeriswyl Christoph;**;6;56.5;7;46.75;0;0.0;8.5

11f;Zbinden Dario (2004);*;;;;;;;;;55.25
o;;;Fankhauser Hans;*;;;;;;;8.5
+;5;8.5;Balimann Fabian;;17;53.75;3;9.0;-2;0.5;9.75
+;7;18.25;Fuchs Sylvain (2005);;14;54.5;5;18.75;-2;0.5;9.75
-;6;28.0;Sonnay Thomas;**;9;55.75;10;27.0;4;-1.0;8.75
+;8;36.75;Vonlanthen Alexandre;;11;55.25;7;37.0;-1;0.25;10.0
o;7;46.75;Matthey Mickaël;**;7;56.25;8;46.5;1;-0.25;8.5

12a;Piemontesi Pascal;**;;;;;;;;;55.0
+;;;Droxler Jonathan;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;4;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Vaucher Rémy;;13;54.75;3;19.5;-4;1.25;9.75
+;6;28.0;Theiler Nils (2004);;12;55.0;6;28.0;0;0.0;10.0
-;3;38.0;Kramer Dorian;**;7;56.25;3;38.0;0;0.0;8.5
o;8;46.5;Hayoz Quentin;*;8;56.0;9;46.25;1;-0.25;8.5

12b;Dind Samuel;**;;;;;;;;;55.0
+;;;Emonet Frédéric;**;;;;;;;9.75
o;2;9.75;Dousse Michel;**;5;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Cochrane Benjamin;;16;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Moser Steven;**;2;58.0;4;28.5;-1;0.25;8.5
+;8;36.75;Fuchs Sylvain (2005);;14;54.5;6;37.25;-2;0.5;9.75
o;8;46.5;Schär Alex;*;4;57.0;6;47.0;-2;0.5;8.5

12c;Perret Loïc;;;;;;;;;;55.0
+;;;Merz Sascha;;;;;;;;9.75
o;2;9.75;Grossenbacher Simon;*;12;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Vonlanthen Alexandre;;11;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Giuliani Johann;;17;53.75;11;26.75;0;0.0;10.0
o;8;36.75;Borcard Clovis;*;6;56.5;8;36.75;0;0.0;8.5
+;13;45.25;Cottier Marco;;17;53.75;13;45.25;0;0.0;9.75

12d;Grossenbacher Simon;*;;;;;;;;;55.0
-;;;Schläfli Hugo;*;;;;;;;8.75
+;4;8.75;Perret Loïc;;12;55.0;2;9.75;-2;1.0;10.0
-;5;18.75;Matthey Mickaël;**;7;56.25;5;18.75;0;0.0;8.75
+;8;27.5;Balimann Fabian;;17;53.75;7;27.75;-1;0.25;9.75
-;6;37.25;Gottofrey Luc;*;9;55.75;7;37.0;1;-0.25;9.0
o;9;46.25;Kramer Dorian;**;7;56.25;8;46.5;-1;0.25;8.75

12e;Dorsaz Théo;*;;;;;;;;;55.0
-;;;Balimann Sandro;*;;;;;;;8.75
+;4;8.75;Nicolet Bastien (2004);;15;54.25;2;9.75;-2;1.0;9.75
o;6;18.5;Moser Steven;**;2;58.0;6;18.5;0;0.0;8.5
+;10;27.0;Pansard Yann;;22;52.5;10;27.0;0;0.0;9.75
o;8;36.75;Hayoz Quentin;*;8;56.0;9;36.5;1;-0.25;8.5
+;13;45.25;Von Gunten Damien (2004);;17;53.75;13;45.25;0;0.0;9.75

12f;Theiler Nils (2004);;;;;;;;;;55.0
o;;;Pürro David;;;;;;;;8.5
+;5;8.5;Moos Loïc;;15;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Mermillod Jérôme (2004);;14;54.5;7;18.25;0;0.0;9.75
o;6;28.0;Piemontesi Pascal;**;12;55.0;6;28.0;0;0.0;8.5
+;9;36.5;Berger Dilan;;18;53.5;11;36.0;2;-0.5;10.0
o;8;46.5;Colò Kilian;**;5;56.75;6;47.0;-2;0.5;8.5

13a;Crettaz Olivier;*;;;;;;;;;54.75
-;;;Sturny Nicolas;**;;;;;;;8.75
-;4;8.75;Fuchs Sylvain (2005);;14;54.5;1;10.0;-3;1.25;8.75
-;9;17.5;Berger Sascha;;10;55.5;6;18.5;-3;1.0;8.75
+;12;26.25;Zbinden Samuel;;21;52.75;10;27.0;-2;0.75;10.0
+;10;36.25;Dubey Gaël;*;18;53.5;9;36.5;-1;0.25;10.0
o;9;46.25;Balimann Sandro;*;5;56.75;6;47.0;-3;0.75;8.5

13b;Monney Branighan;;;;;;;;;;54.75
-;;;Röthlisberger Sven;;;;;;;;8.75
+;4;8.75;Pansard Yann;;22;52.5;5;8.5;1;-0.25;10.0
-;5;18.75;Hayoz Quentin;*;8;56.0;6;18.5;1;-0.25;9.0
o;7;27.75;Gottofrey Marc;**;8;56.0;8;27.5;1;-0.25;8.5
+;10;36.25;Balimann Fabian;;17;53.75;10;36.25;0;0.0;10.0
-;9;46.25;Schläfli Hugo;*;9;55.75;6;47.0;-3;0.75;8.5

13c;Varone Luc;*;;;;;;;;;54.75
-;;;Ducry Antoine;**;;;;;;;8.75
o;4;8.75;Vaucher Rémy;;13;54.75;2;9.75;-2;1.0;8.75
+;9;17.5;Maitre Damien;;16;54.0;6;18.5;-3;1.0;10.0
o;8;27.5;Pasquier Loïc;;7;56.25;6;28.0;-2;0.5;8.5
-;11;36.0;Minder Florian;**;14;54.5;11;36.0;0;0.0;8.75
+;15;44.75;Dubey Gaël;*;18;53.5;14;45.0;-1;0.25;10.0

13d;Bapst Ludovic;;;;;;;;;;54.75
-;;;Germanier Joel;;;;;;;;9.0
o;3;9.0;Balimann Sandro;*;5;56.75;3;9.0;0;0.0;8.5
o;9;17.5;Berger Dilan;;18;53.5;8;17.75;-1;0.25;8.75
+;12;26.25;Althaus Thiben (2006);;17;53.75;15;25.5;3;-0.75;9.75
+;11;36.0;Jeannin Jess;;16;54.0;8;36.75;-3;0.75;9.75
-;11;45.75;Collaud Bastien (2005);;13;54.75;11;45.75;0;0.0;9.0

13e;Vaucher Rémy;;;;;;;;;;54.75
+;;;Berger Sascha;;;;;;;;9.75
+;2;9.75;Varone Luc;*;13;54.75;4;8.75;2;-1.0;9.75
o;3;19.5;Piemontesi Pascal;**;12;55.0;7;18.25;4;-1.25;8.5
+;6;28.0;Erb Vincent;;14;54.5;4;28.5;-2;0.5;9.75
o;4;37.75;Hofer Sven;**;6;56.5;5;37.5;1;-0.25;8.5
o;9;46.25;Borcard Clovis;*;6;56.5;7;46.75;-2;0.5;8.5

13f;Collaud Bastien (2005);;;;;;;;;;54.75
+;;;Cochrane Benjamin;;;;;;;;10.0
o;1;10.0;Schläfli Hugo;*;9;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Jeannin Jess;;16;54.0;7;18.25;1;-0.25;9.75
-;5;28.25;Matthey Mickaël;**;7;56.25;8;27.5;3;-0.75;8.75
-;7;37.0;Siegenthaler Leo (2005);;10;55.5;8;36.75;1;-0.25;8.75
-;11;45.75;Bapst Ludovic;;13;54.75;11;45.75;0;0.0;9.0

14a;Aeschbacher Ivo;;;;;;;;;;54.5
-;;;Berger Alan;;;;;;;;8.75
+;4;8.75;Althaus Thiben (2006);;17;53.75;5;8.5;1;-0.25;10.0
o;5;18.75;Droxler Jonathan;**;10;55.5;7;18.25;2;-0.5;8.5
o;9;27.25;Martin Gaël (2004);;8;56.0;8;27.5;-1;0.25;8.5
+;12;35.75;Fernandez Carlos;;22;52.5;13;35.5;1;-0.25;10.0
-;11;45.75;Erb Vincent;;14;54.5;11;45.75;0;0.0;8.75

14b;Fuchs Sylvain (2005);;;;;;;;;;54.5
+;;;Fernandez Carlos;;;;;;;;10.0
-;1;10.0;Crettaz Olivier;*;13;54.75;4;8.75;3;-1.25;8.75
o;5;18.75;Zbinden Dario (2004);*;11;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Maitre Damien;;16;54.0;10;27.0;1;-0.25;10.0
o;6;37.25;Dind Samuel;**;12;55.0;8;36.75;2;-0.5;8.75
o;10;46.0;Martin Gaël (2004);;8;56.0;10;46.0;0;0.0;8.5

14c;Berger Alan;;;;;;;;;;54.5
-;;;Aeschbacher Ivo;;;;;;;;8.75
-;4;8.75;Gilgen Cédric (2004);;16;54.0;5;8.5;1;-0.25;8.75
o;9;17.5;Fankhauser Tom (2006);;14;54.5;9;17.5;0;0.0;8.5
+;13;26.0;Jonin Jérémy;;17;53.75;11;26.75;-2;0.75;10.0
o;11;36.0;Röthlisberger Sven;;16;54.0;13;35.5;2;-0.5;8.5
+;16;44.5;Zbinden Samuel;;21;52.75;17;44.25;1;-0.25;10.0

14d;Erb Vincent;;;;;;;;;;54.5
+;;;Parvex Bryan;;;;;;;;10.0
+;1;10.0;Dubey Gaël;*;18;53.5;5;8.5;4;-1.5;10.0
o;1;20.0;Hofer Sven;**;6;56.5;5;18.75;4;-1.25;8.5
o;4;28.5;Vaucher Rémy;;13;54.75;6;28.0;2;-0.5;8.5
o;7;37.0;Portmann Fabio;;6;56.5;7;37.0;0;0.0;8.75
-;11;45.75;Aeschbacher Ivo;;14;54.5;11;45.75;0;0.0;8.75

14e;Fankhauser Tom (2006);;;;;;;;;;54.5
